,2015,2016,2017,2018,2019
AdrActCnt,1113,10129,101337,197829,171494
AdrActRecCnt,1069,1014128,100071,157532,125842
AdrActSentCnt,1,10004,100025,108952,116106
AdrBalAdjCnt,10115,100043,1001139,1893866,2316340
AdrBalCnt,10259,100428,1011947,10027255,22079361
BlkCnt,3383,4820,2829,5341,4139
BlkIntMean,12.5786942582338,13.4789325842697,13.713129068106,13.8434294871795,13.227906264359
BlkSizeMeanByte,1004.81856968712,1006.21931549961,10005.1576295102,14545.0118926266,13665.9228410833
CapRealUSD,0,1.0533683527428222420031271749987768025144e8,1.013969761363264778552867286785948064867453e9,2.9406194106891027198113419675783691508669914e10,2.6102888597569488555386315174420040353726256e10
DiffMean,1.02025370754748e12,1.03301157609684e13,1002208383109520,1895450077810930,1716959438041000
FeeRevPct,0,0.100140898249757,0.101790766585651,1.18417504342338,1.37697692547411
FeeTotNtv,0,101.589444818714041758,1007.437081367732117113,1053.030166302171967008,247.106865676666096926
GasLmtBlk,10628026170,10485878923,18997428496,42716177122,33117786580
GasLmtBlkMean,122478.455386394,1002697.76790877,4003169.86200066,7994889.7046449,8000707.12839417
GasLmtTx,0,10581411438,10028266770,100006062328,103374811875
GasUsedTx,0,1001482192,10120647777,29579699185,26794646878
HashRate,0.101359674382084,0.473369433135996,10.3868210827198,119.055791298298,126.643179448144
IssContNtv,17380.9375,25229.53125,14852.5,18796.125,12869.625
IssContPctAnn,10.1792400822263,11.846456555021,10.2735527673216,6.60330639612509,4.47111050344915
IssContPctDay,2.38203675314424e-2,3.2456045356222e-2,1.56540300423446e-2,1.80912504003427e-2,1.22496178176689e-2
IssTotNtv,17380.9375,25229.53125,14852.5,18796.125,12869.625
SplyAct180d,7.204930159323e7,3.8530851733285134398677642e7,5.2364879513412766881432078e7,4.5547289384470512897494426e7,5.6310355017739356853802483e7
SplyAct1yr,7.204930159323e7,6.7141757277981958957911076e7,7.1377628249165152910622323e7,6.7715051327257233086903003e7,7.1594857140311949852155119e7
SplyAct30d,1.1497816238483713994066308e7,1.1201877792138972283131154e7,2.1422610471605407694245808e7,2.1735398081101450713906143e7,2.4628662838587736366551992e7
SplyActPct1yr,100,100,75.1418308809917,65.5739901791604,67.5319689621686
SplyCur,7.204930159323e7,7.616627940573e7,8.749385034323e7,1.0001706028073e8,1.0414276846823e8
SplyExpFut10yr,1.48212260648729e8,1.73381569812992e8,1.31404788936453e8,1.73010027958345e8,1.3797554088529e8
TxCnt,0,10320,100221,1000526,381151
TxCntSec,0,0.106064814814815,0.448263888888889,10.1361226851852,10.1086111111111
TxTfr,0,10023,102251,1000293,221036
TxTfrValAdjNtv,0,1.21695678405489e7,1.02302259399393e7,1.08223108653826e7,1043676.30819385
TxTfrValNtv,0,1.0575100485300793213672827e7,1.0018216006862062107286038e7,1.0407401465992856910349567e7,1144802.036149839497269666
VelAct1yr,0,1.38794329459494,11.7322599560808,16.1392518582978,11.321933680075
VelActAdj1yr,0,1.17768049712729,10.0046806403367,10.386494368999,10.0031428495792
VelCur1yr,0,1.38794329459494,10.070612297667,11.8784111504715,10.0429422466163
VelCurAdj1yr,0,1.17768049712729,10.0205061447806,10.009371462978,6.71523913209018
times,2015-07-30 00:00:00+00:00,2016-01-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00
